name,rating,price,url
Kostas Manolas,84,18750,https://www.futbin.com/18/player/242/Manolas
Vincent Kompany,85,18250,https://www.futbin.com/18/player/184/Kompany
Marco Asensio Willemsen,84,18000,https://www.futbin.com/18/player/254/Marco%20Asensio
João Miranda de Souza Filho,86,17000,https://www.futbin.com/18/player/153/Miranda
Samuel Umtiti,83,16000,https://www.futbin.com/18/player/310/Umtiti
Andriy Yarmolenko,81,16000,https://www.futbin.com/18/player/480/Yarmolenko
Juan Cuadrado,82,15250,https://www.futbin.com/18/player/382/Cuadrado
Danny Rose,82,14500,https://www.futbin.com/18/player/347/Rose
Marc-André ter Stegen,85,14250,https://www.futbin.com/18/player/196/ter%20Stegen
Marco Verratti,87,14000,https://www.futbin.com/18/player/131/Verratti
Antonio Rüdiger,82,13750,https://www.futbin.com/18/player/406/R%C3%BCdiger
Michail Antonio,80,13750,https://www.futbin.com/18/player/597/Antonio
Andrea Belotti,83,13500,https://www.futbin.com/18/player/314/Belotti
Georginio Wijnaldum,82,13000,https://www.futbin.com/18/player/358/Wijnaldum
Kévin Gameiro,83,13000,https://www.futbin.com/18/player/277/Gameiro
Keita Baldé Diao,82,13000,https://www.futbin.com/18/player/421/Bald%C3%A9%20Diao
Adam Lallana,83,13000,https://www.futbin.com/18/player/284/Lallana
Kalidou Koulibaly,84,12500,https://www.futbin.com/18/player/245/Koulibaly
Raheem Sterling,82,12000,https://www.futbin.com/18/player/398/Sterling
Andrea Barzagli,85,12000,https://www.futbin.com/18/player/183/Barzagli
Jorge Resurrección,84,11750,https://www.futbin.com/18/player/243/Koke
Nemanja Matić,83,11500,https://www.futbin.com/18/player/297/Mati%C4%87
Idrissa Gueye,83,11000,https://www.futbin.com/18/player/300/Gueye
Thomas Lemar,83,9700,https://www.futbin.com/18/player/320/Lemar
Daniel Wass,80,9600,https://www.futbin.com/18/player/560/Wass
Kasper Schmeichel,83,9500,https://www.futbin.com/18/player/273/Schmeichel
Sami Khedira,84,9500,https://www.futbin.com/18/player/232/Khedira
Davinson Sánchez,81,9200,https://www.futbin.com/18/player/515/S%C3%A1nchez
Daniel Carvajal Ramos,84,9100,https://www.futbin.com/18/player/249/Carvajal
Keylor Navas,85,8900,https://www.futbin.com/18/player/200/Navas
Renato Júnior Luz Sanches,76,8700,https://www.futbin.com/18/player/1475/Renato%20Sanches
Gylfi Sigurðsson,82,8600,https://www.futbin.com/18/player/368/Sigur%C3%B0sson
Giacomo Bonaventura,83,8000,https://www.futbin.com/18/player/294/Bonaventura
Federico Bernardeschi,82,8000,https://www.futbin.com/18/player/419/Bernardeschi
Juan Manuel Mata García,84,7800,https://www.futbin.com/18/player/229/Juan%20Mata
Ivan Perišić,84,7700,https://www.futbin.com/18/player/235/Peri%C5%A1i%C4%87
Bernd Leno,85,7600,https://www.futbin.com/18/player/197/Leno
Ahmed Musa,76,7500,https://www.futbin.com/18/player/1347/Musa
José Paulo Bezerra M. Júnior,81,7400,https://www.futbin.com/18/player/462/Paulinho
Fernando Luiz Rosa,82,7300,https://www.futbin.com/18/player/330/Fernandinho
Nathaniel Clyne,82,7300,https://www.futbin.com/18/player/379/Clyne
Chris Smalling,81,7200,https://www.futbin.com/18/player/469/Smalling
Gerard Deulofeu Lázaro,82,7100,https://www.futbin.com/18/player/396/Deulofeu
Medhi Benatia,84,7000,https://www.futbin.com/18/player/228/Benatia
Daniel Alves da Silva,84,6900,https://www.futbin.com/18/player/223/Dani%20Alves
Lucas Rodrigues M. Silva,82,6900,https://www.futbin.com/18/player/393/Lucas
Képler Laveran Lima Ferreira,86,6800,https://www.futbin.com/18/player/149/Pepe
Stéphane Ruffier,85,6500,https://www.futbin.com/18/player/186/Ruffier
Emre Can,79,6500,https://www.futbin.com/18/player/795/Can
Karim Bellarabi,82,6100,https://www.futbin.com/18/player/399/Bellarabi
Aymeric Laporte,84,5800,https://www.futbin.com/18/player/252/Laporte
Mateo Kovačić,82,5800,https://www.futbin.com/18/player/408/Kova%C4%8Di%C4%87
Kevin Strootman,84,5800,https://www.futbin.com/18/player/239/Strootman
Marcos Alonso Mendoza,81,5600,https://www.futbin.com/18/player/474/Marcos%20Alonso
Jordan Henderson,82,5600,https://www.futbin.com/18/player/364/Henderson
Danijel Subašić,85,5400,https://www.futbin.com/18/player/198/Suba%C5%A1i%C4%87
Kingsley Coman,79,5400,https://www.futbin.com/18/player/810/Coman
Wayne Rooney,81,5300,https://www.futbin.com/18/player/435/Rooney
Kamil Glik,85,5300,https://www.futbin.com/18/player/195/Glik
Pedro Rodríguez Ledesma,84,5100,https://www.futbin.com/18/player/238/Pedro
Marcos Rojo,82,5000,https://www.futbin.com/18/player/394/Rojo
Iñaki Williams Arthuer,81,4900,https://www.futbin.com/18/player/512/Williams
Gary Cahill,84,4700,https://www.futbin.com/18/player/224/Cahill
Marco Parolo,81,4600,https://www.futbin.com/18/player/458/Parolo
Marcos Aoas Corrêa,83,4500,https://www.futbin.com/18/player/312/Marquinhos
José María Giménez,83,4500,https://www.futbin.com/18/player/322/Gim%C3%A9nez
Thomas Meunier,81,4500,https://www.futbin.com/18/player/497/Meunier
Łukasz Piszczek,83,4500,https://www.futbin.com/18/player/276/Piszczek
Ross Barkley,81,4500,https://www.futbin.com/18/player/489/Barkley
João Mário Naval Costa Eduardo,83,4400,https://www.futbin.com/18/player/319/Jo%C3%A3o%20M%C3%A1rio
João Pedro Cavaco Cancelo,79,4400,https://www.futbin.com/18/player/798/Jo%C3%A3o%20Cancelo
